"Sex","Age","Weight","Height"
"M",23,"69,97","1,72"
"M",22,"78,59","1,84"
"M",22,"69,85","1,68"
"M",26,"83,8","1,84"
"M",24,"83,58","1,81"
"M",24,"95,37","1,9"
"M",26,"82,1","1,77"
"M",25,"79,83","1,84"
"M",25,"86,64","1,88"
"M",23,"89,93","1,87"
"M",26,"84,48","1,89"
"M",27,"97,98","1,93"
"M",32,"81,87","1,77"
"M",30,"93,1","1,81"
"M",35,"85,16","1,77"
"M",35,"73,82","1,68"
"M",34,"88,79","1,8"
"M",32,"94,92","1,8"
"M",28,"83,35","1,72"
"M",33,"96,05","1,87"
"M",28,"81,19","1,73"
"M",28,"90,95","1,77"
"M",31,"63,62","1,73"
"M",32,"67,47","1,78"
"M",28,"68,61","1,72"
"M",27,"72,24","1,82"
"M",34,"59,65","1,71"
"M",31,"67,13","1,71"
"M",27,"60,44","1,64"
"M",29,"72,92","1,75"
"M",32,"82,55","1,87"
"M",29,"72,69","1,81"
"M",27,"76,2","1,81"
"M",41,"99,11","1,8"
"M",41,"112,15","1,87"
"M",49,"86,98","1,65"
"M",40,"91,74","1,78"
"M",50,"89,25","1,73"
"M",46,"164,72","1,84"
"M",50,"92,08","1,7"
"M",45,"119,18","1,75"
"M",44,"92,99","0,75"
"M",48,"98,43","1,78"
"M",41,"96,16","1,82"
"M",39,"56,81","1,73"
"M",43,"74,5","1,86"
"M",40,"60,56","1,71"
"M",39,"67,36","1,81"
"M",45,"61,58","1,74"
"M",47,"57,83","1,7"
"M",47,"71,78","1,84"
"M",40,"63,16","1,75"
"M",51,"62,26","1,72"
"M",49,"69,29","1,87"
"M",42,"61,8","1,71"
"M",54,"89,81","1,83"
"M",58,"82,33","1,73"
"M",62,"91,29","1,77"
"M",54,"91,85","1,8"
"M",61,"81,53","1,67"
"M",62,"97,98","1,86"
"M",56,"81,08","1,74"
"M",54,"87,66","1,78"
"M",61,"80,74","1,7"
"M",57,"93,21","1,78"
"M",55,"83,24","1,71"
"M",54,"68,72","1,8"
"M",55,"70,19","1,82"
"M",54,"70,42","1,76"
"M",55,"71,1","1,82"
"M",62,"75,98","1,82"
"M",55,"66,57","1,75"
"M",56,"72,92","1,87"
"M",55,"56,7","1,63"
"M",61,"64,86","1,67"
"M",61,"67,25","1,71"
"M",57,"73,71","1,77"
"M",69,"80,63","1,74"
"M",81,"73,14","1,78"
"M",66,"77,68","1,76"
"M",67,"74,28","1,72"
"M",64,"68,15","1,71"
"M",64,"86,3","1,85"
"M",70,"77,45","1,78"
"M",72,"76,2","1,76"
"M",67,"75,75","1,71"
"M",72,"71,55","1,71"
"M",64,"72,58","1,67"
"M",46,"80,17","1,84"
"M",48,"79,83","1,85"
"M",46,"80,29","1,78"
"M",44,"81,53","1,77"
"M",47,"74,96","1,79"
"M",46,"87,32","1,82"
"M",47,"83,58","1,89"
"M",53,"101,83","1,97"
"M",38,"85,62","1,86"
"M",50,"73,71","1,69"
"M",46,"70,99","1,73"
"M",47,"89,36","1,83"
"M",49,"90,04","1,87"
"M",48,"78,81","1,83"
"M",41,"78,36","1,81"
"M",49,"89,25","1,87"
"M",43,"80,29","1,76"
"M",43,"75,07","1,74"
"M",43,"90,83","1,87"
"M",52,"92,19","1,89"
"M",43,88,"1,92"
"M",40,"76,43","1,76"
"M",43,"77,45","1,74"
